name,rating ,reviewCount,category,address,website,phone,monday,tuesday,wednesday,thursday,friday,saturday,sunday,laditude,longitude,
PENICILIN,,,Pharmacy,Spiro Crne 6,,+389 2 253 4572,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-7PM,9AM-2PM,42.0108125,21.5101875,
Mediko Point Apteka,5,1,Pharmacy,Boris Sarafov 51,,,,,,,,,,42.0085625,21.3499375,
Aliman Komerc,4.4,8,Veterinary pharmacy,Metodija Andonov - Chento 1b,,+389 2 255 0712,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,42.0023125,21.4845625,
Zegin - Novo Lisich?e 3,,,Pharmacy,Fevruarski Pohod 24,zegin.com.mk,+389 2 240 1445,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,41.9826875,21.4825625,
Viola,,,Pharmacy,Bulevar Jane Sandanski 69,,,,,,,,,,41.9848125,21.4656875,
Zegin - Saraj 1,5,2,Pharmacy,P402,zegin.com.mk,+389 2 205 7356,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,41.9988125,21.3264375,
Apteka Opium,,,Pharmacy,Dimitar Turimandzhoski 3,,+389 2 244 0335,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,8AM-8PM,Closed,41.9746875,21.4718125,
Eurofarm,5,2,Pharmacy,Fevruarski Pohod,,,,,,,,,,41.9841875,21.4836875,
Apteka Jana,,,Pharmacy,Metodija Andonov - Chento,,+389 2 253 3777,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-5PM,Closed,42.0064375,21.5021875,
Intergral Farm,5,1,Pharmacy,Razloshka,,,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,41.9941875,21.5084375,
Apteka Viola - Sopishte,3,1,Pharmacy,Sopishte,,+389 2 274 3244,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,41.9486875,21.4174375,
LiLa,5,1,Pharmacy,Skopje,,,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,Closed,41.9865625,21.5075625,
Galenium Farm,4.8,5,Pharmacy,Shishevo,,,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,41.9738125,21.3108125,
Amavita,5,2,Pharmacy,Alija Avdovikj 18 Skopje,,+389 76 299 022,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,42.0181875,21.5135625,
Zegin,,,Pharmacy,Blagoja Stefkovski,,,,,,,,,,41.9955625,21.5014375,
Zegin,4.9,7,Pharmacy,Madzari Skopje,zegin.com.mk,+389 2 252 0944,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-10PM,42.0055625,21.5035625,
Galafarm,4.6,7,Pharmaceutical company,Stopanski Dvor 51/23,galafarm.com.mk,+389 2 205 0800,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,42.0300625,21.3401875,
Dr. Slavjanka,,,Pharmacy,Gorno Lisiche Skopje,,,,,,,,,,41.9615625,21.5076875,
Tilija 2,5,2,Homeopathic pharmacy,P2239 Kuchevishte,,+389 2 262 7752,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-1PM,42.1090625,21.4200625,
Eurofarm,,,Pharmacy,Chento,eurofarm.com.mk,+389 72 266 541,,,,,,,,42.0054375,21.5036875,
Aspirin Farm,,,Pharmacy,Metodija Andonov 140 Chento,,,,,,,,,,42.0265625,21.5621875,
dm drogerie markt,4.7,22,Health and beauty shop,City Mall Ulica Ljubljanska 4,dm.mk,+389 2 308 0456,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,42.0046875,21.3916875,
dm drogerie markt,4.7,38,Health and beauty shop,Ivo Lola Ribar 74,dm.mk,+389 2 309 4996,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,10AM-5PM,41.9965625,21.4064375,
Flora Kompani,1,,Pharmacy,Branko Zarevski Drachevo,,+389 70 398 930,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-5PM,7AM-2PM,41.9386875,21.5155625,
Veterinarna Apteka Panda,2,17,Veterinarian,Vidoe Smilevski Bato 39,panda.vet,+389 70 700 784,12-7PM,12-7PM,12-7PM,12-7PM,12-7PM,10AM-2PM,Closed,41.9835625,21.4765625,
Zegin - Estreja Drachevo,3.3,4,Pharmacy,Justinijan Prvi Drachevo,zegin.com.mk,+389 2 320 1444,,,,,,,,41.9333125,21.5201875,
Zemjodelska Apteka Agrojunikom,,,Pharmacy,Jurumleri,,,,,,,,,,41.9678125,21.5563125,
Zegin - Ilinden,4.8,6,Pharmacy,Ilinden,,+389 2 258 1360,,,,,,,,41.9974375,21.5738125,
Zegin - Drachevo,4.1,9,Pharmacy,Zhivko Firfov Drachevo,zegin.com.mk,+389 2 279 2000,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,41.9384375,21.5149375,
Jasmin,4.9,8,Pharmacy,Marshal Tito 68 Dolno Lisiche,,+389 2 279 4349,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-2:30PM,Closed,41.9534375,21.5323125,
Bilna apteka,4.3,6,Health food store,Victor Hugo,bilnaapteka.com.mk,+389 2 277 4329,,,,,,,,41.9859375,21.4369375,
Herba Stojanovi,4.8,4,Herb shop,11-ti Oktomvri 86/12,,+389 2 321 4313,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-6PM,10AM-3PM,Closed,41.9881875,21.4359375,
